channel,acc_base,acc_perm,delta_acc
0,0.9,0.86,0.040000000000000036
1,0.9,0.76,0.14
2,0.9,0.8,0.09999999999999998
3,0.9,0.82,0.08000000000000007
4,0.9,0.84,0.06000000000000005
5,0.9,0.82,0.08000000000000007
6,0.9,0.76,0.14
7,0.9,0.82,0.08000000000000007
8,0.9,0.82,0.08000000000000007
9,0.9,0.84,0.06000000000000005
10,0.9,0.82,0.08000000000000007
11,0.9,0.84,0.06000000000000005
12,0.9,0.76,0.14
13,0.9,0.86,0.040000000000000036
14,0.9,0.78,0.12
15,0.9,0.78,0.12
16,0.9,0.8,0.09999999999999998
17,0.9,0.82,0.08000000000000007
18,0.9,0.86,0.040000000000000036
19,0.9,0.82,0.08000000000000007
20,0.9,0.86,0.040000000000000036
21,0.9,0.8,0.09999999999999998
22,0.9,0.86,0.040000000000000036
23,0.9,0.84,0.06000000000000005
24,0.9,0.88,0.020000000000000018
25,0.9,0.84,0.06000000000000005
26,0.9,0.82,0.08000000000000007
27,0.9,0.78,0.12
28,0.9,0.82,0.08000000000000007
29,0.9,0.84,0.06000000000000005
30,0.9,0.86,0.040000000000000036
31,0.9,0.84,0.06000000000000005
32,0.9,0.78,0.12
33,0.9,0.78,0.12
34,0.9,0.78,0.12
35,0.9,0.84,0.06000000000000005
36,0.9,0.78,0.12
37,0.9,0.78,0.12
38,0.9,0.86,0.040000000000000036
39,0.9,0.86,0.040000000000000036
40,0.9,0.82,0.08000000000000007
41,0.9,0.8,0.09999999999999998
42,0.9,0.84,0.06000000000000005
43,0.9,0.82,0.08000000000000007
44,0.9,0.82,0.08000000000000007
45,0.9,0.76,0.14
46,0.9,0.86,0.040000000000000036
47,0.9,0.84,0.06000000000000005
48,0.9,0.88,0.020000000000000018
49,0.9,0.8,0.09999999999999998
50,0.9,0.82,0.08000000000000007
51,0.9,0.88,0.020000000000000018
52,0.9,0.88,0.020000000000000018
53,0.9,0.8,0.09999999999999998
54,0.9,0.8,0.09999999999999998
55,0.9,0.88,0.020000000000000018
56,0.9,0.78,0.12
57,0.9,0.84,0.06000000000000005
58,0.9,0.88,0.020000000000000018
59,0.9,0.86,0.040000000000000036
60,0.9,0.86,0.040000000000000036
61,0.9,0.9,0.0
62,0.9,0.86,0.040000000000000036
63,0.9,0.84,0.06000000000000005
