source,model,dataset,subject_id,seed,preprocess,bandpass,notch,car,ica,baseline,residual,l_freq,h_freq,test_accuracy,test_macro_f1,val_best_accuracy,num_epochs,params_total,duration_sec,run_id
ablation,DiffE_mod,BCI,,42,1,0,0,1,0,0,0,0.5,125,0.5253333333333333,0.5256854701782443,0.5413333333333333,50,183566,124.40105056762695,20250824_124353_b57f919b
ablation,DiffE_mod,BCI,,7,1,0,0,1,0,0,0,0.5,125,0.516,0.5150269688579833,0.5293333333333333,50,183566,123.86147546768188,20250824_124631_37fb9c67
ablation,DiffE_mod,BCI,,42,1,0,0,0,0,1,0,0.5,125,0.216,0.21188259685830854,0.252,50,183566,122.91943383216858,20250824_124657_f18027c4
ablation,DiffE_mod,BCI,,42,1,1,0,1,1,1,0,0.5,125,0.236,0.22401802171234655,0.26666666666666666,50,183566,124.0622079372406,20250824_124721_df61d2dd
ablation,DiffE_mod,BCI,,42,1,0,1,0,0,0,0,0.5,125,0.5426666666666666,0.5419599935230076,0.5346666666666666,50,183566,123.0865306854248,20250824_124825_e7de9b06
ablation,DiffE_mod,BCI,,42,1,1,1,1,1,0,0,0.5,125,0.248,0.20932983879882308,0.28,50,183566,124.24830436706543,20250824_124846_d0cb9a39
ablation,DiffE_mod,BCI,,42,1,1,0,0,0,0,0,0.5,125,0.24933333333333332,0.23748894176246532,0.27466666666666667,50,183566,124.43659496307373,20250824_124903_8505596a
ablation,DiffE_mod,BCI,,21,1,0,0,1,0,0,0,0.5,125,0.5253333333333333,0.5250315232534801,0.5173333333333333,50,183566,126.00365734100342,20250824_124911_5656586b
ablation,DiffE_mod,BCI,,7,1,0,0,0,0,1,0,0.5,125,0.2,0.19378543870764417,0.24266666666666667,50,183566,123.56841278076172,20250824_124924_87045bfc
ablation,DiffE_mod,BCI,,42,1,0,0,0,1,0,0,0.5,125,0.5426666666666666,0.5417632798910212,0.5426666666666666,50,183566,124.06658363342285,20250824_124935_a0f1b09c
ablation,DiffE_mod,BCI,,7,1,1,0,1,1,1,0,0.5,125,0.24133333333333334,0.24082750999085353,0.256,50,183566,124.91607403755188,20250824_125001_6e9939bb
ablation,DiffE_mod,BCI,,42,1,1,1,1,0,1,0,0.5,125,0.24533333333333332,0.24429850963943228,0.25333333333333335,50,183566,125.29525947570801,20250824_125031_699bf08f
ablation,DiffE_mod,BCI,,7,1,0,1,0,0,0,0,0.5,125,0.52,0.5197027257021406,0.5266666666666666,50,183566,123.78693699836731,20250824_125052_ee24b814
